trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
107,False,"{'a': 0.8985256729903055, 'e': 0.34300851741870664}",20,9,4.716555642813126,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.8976275964304349, 'e': 0.3395955256449391}",25,17,4.954202303649486,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.8967304174982355, 'e': 0.3362164937067333}",25,13,16.519678680224004,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.8958341352965282, 'e': 0.33287108369807955}",20,9,-42.58803002179705,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 1}",1
111,False,"{'a': 0.894938748929031, 'e': 0.32955896107518906}",20,11,-14.788456989387043,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
112,False,"{'a': 0.8940442575003572, 'e': 0.32627979462303947}",25,5,-33.23497431972606,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",1
113,False,"{'a': 0.8931506601160155, 'e': 0.3230332564222529}",20,7,0.716367115810514,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
114,False,"{'a': 0.8922579558824083, 'e': 0.31981902181630384}",20,0,0.8617014388089576,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
115,False,"{'a': 0.8913661439068313, 'e': 0.31663676937905316}",25,8,13.202980227058287,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.8904752232974726, 'e': 0.3134861808826053}",20,12,-25.869354563188086,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
117,False,"{'a': 0.8895851931634113, 'e': 0.31036694126548503}",20,4,16.142844615582614,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.8886960526146174, 'e': 0.30727873860113125}",25,11,9.309703546621584,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.8878078007619501, 'e': 0.3042212640667041}",20,1,5.071489422419589,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
120,False,"{'a': 0.8869204367171575, 'e': 0.30119421191220214}",20,0,14.397878711908715,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
